common_name,scientific_name,MLE_combined,MLE_male,MLE_female
"Owl, Snowy",Nyctea scandiaca,10.2,-,-
"Panda, Red (fulgens)",Ailurus fulgens fulgens,10,-,-
"Panda, Red (styani)",Ailurus fulgens refulgens (styani),12,-,-
"Parrot, Hawk-headed",Deroptyus accipitrinus,-,,15.4
"Parrot, Thick-billed",Rhynchopsitta pachyrhyncha,13.2,-,-
"Partridge, Crested Wood",Rollulus rouloul,4.9,-,-
"Peafowl, Congo",Afropavo congensis,-,7.9,
"Pelican, Great White",Pelicanus onocrotalus,10.4,-,-
"Pelican, Pink-backed",Pelecanus rufescens,13.1,-,-
"Penguin, Adelie",Pygoscelis adeliae,17.9,-,-
"Penguin, African",Speniscus demersus,-,21.8,18.3
"Penguin, Chinstrap",Pygoscelis antarctica,-,25.1,
"Penguin, Gentoo (ellsworthi)",Pygoscelis papua ellsworthi,27.9,-,-
"Penguin, Gentoo (papua)",Pygoscelis papua papua,29.9,-,-
"Penguin, Humboldt",Spheniscus humboldti,17.6,-,-
"Penguin, King",Aptenodytes patagonicus,26,-,-
"Penguin, Macaroni",Eudyptes chrysolophus,26.3,-,-
"Penguin, Magellanic",Spheniscus magellanicus,10.1,-,-
"Penguin, Northern & Southern Rockhopper(Combined)",Eudyptes chrysocome,-,23.7,28.6
"Pheasant, Palawan Peacock",Polyplectron napoleonis,-,8.4,6.4
"Pigeon, Green-naped Pheasant",Otidiphaps nobilis,-,7.9,
"Pigeon, Nicobar",Caloenas nicobarica,-,17.1,12
"Pigeon, Victoria Crowned",Goura victoria,11.1,-,-
"Pigeon, Western (Blue) Crowned",Goura cristata,7.7,-,-
"Pitta, Hooded",Pitta sordida,3.2,-,-
"Porcupine, Cape",Hystrix africaeaustralis,14.5,-,-
"Porcupine, North American",Erethizon dorsatum,7.1,-,-
"Porcupine, Prehensile-tailed",Coendou prehensilis,10.9,-,-
"Pudu, Chilean",Pudu puda,7.7,-,-
"Puffin, Atlantic",Fratercula arctica,14.8,-,-
"Puffin, Tufted",Fratercula cirrhata,13.6,-,-
Puma,Puma concolor,-,13.6,16
"Python, Reticulated",Python reticulatus,11,-,-
"Quoll, Tiger",Dasyurus maculatus,5,-,-
"Rail, Guam",Gallirallus owstoni,-,9.6,5.7
"Rattlesnake, Eastern Massasauga",Sistrurus catenatus catenatus,9.4,-,-
"Rattlesnake, Mexican Lance-headed",Crotalus polystictus,8,-,-
"Rhea, Greater",Rhea americana,7.8,-,-
"Rhinoceros, Eastern Black",Diceros bicornis michaeli,19,-,-
"Rhinoceros, Greater One-horned",Rhinoceros unicornis,30.2,-,-
"Rhinoceros, Southern White",Cerathotherium simum,31.4,-,-
Ringtail,Bassariscus astutus,11.1,-,-
"Roller, Blue-bellied",Coracias cyanogaster,8.9,-,-
"Saki, White-faced",Pithecia pithecia,-,,11.6
"Screamer, Southern",Chauna torquata,13.6,-,-
"Sea Lion, California",Zalophus californianus,23.3,-,-
"Seal, Grey",Halichoerus grypus,18.8,-,-
"Seal, Harbor",Phoca vitulina,24.8,-,-
"Seriema, Red-legged",Cariama cristata,17.9,-,-
Serval,Leptailurus serval,13.2,-,-
"Shark, Sand Tiger",Carcharias taurus,21.4,-,-
"Sheep, Desert Bighorn",Ovis canadensis nelsoni,-,,10.3
Siamang,Symphalangus syndactylus,27,-,-
"Sifaka, Coquerel's",Propithecus coquereli,-,10.7,
Sitatunga,Tragelaphus spekii,-,5.4,7.7
"Skink, Prehensile-tailed",Corucia zebrata,-,15.5,11.5
"Sloth, Hoffman's Two-toed",Choleopus hoffmanni,15.2,-,-
"Sloth, Linne's Two-toed",Choleopus didactylus,16,-,-
"Snake, Eastern Indigo",Drymarchon couperi,11.4,-,-
