common_name,scientific_name,MLE_combined,MLE_male,MLE_female,status
"Toad, Puerto Rican Crested (Northern and South",Peltophryne lemur,5.5,-,-,Threatened
"Toad, Wyoming",Anaxyrus baxteri,3,-,-,Least Concern
"Tortoise, Egyptian",Testudo kleinmanni,12.9,-,-,Least Concern
"Toucan, Chestnut-mandibled",Ramphastos ambiguus swainsonii,10.3,-,-,Least Concern
"Toucan, Keel-billed",Ramphastos sulfuratus,8,-,-,Least Concern
"Toucan, Toco",Ramphastos toco,8.5,-,-,Least Concern
"Tragopan, Cabot's",Tragopan caboti,4.4,-,-,Endangered
"Tree Kangaroo, Matschie's",Dendrolagus matschiei,12,-,-,Least Concern
"Tree Shrew, Northern",Tupaia belangeri,7.1,-,-,Least Concern
Troupial,Icterus icterus,-,6.1,,Least Concern
"Trumpeter, Grey-winged",Psophia crepitans,5.7,-,-,Least Concern
"Turaco, Lady Ross'",Musophaga rossae,10.5,-,-,Least Concern
"Turaco, Red-crested",Tauraco erythrolophus,9,-,-,Least Concern
"Turaco, Violaceous",Musophaga violacea,-,16.1,11.9,Least Concern
"Turaco, White-cheeked",Tauraco leucotis,10.4,-,-,Least Concern
"Turtle, Coahuilan Box",Terrapene coahuila,-,,15.3,Endangered
"Turtle, Wood",Glyptemys insculpta,17.1,-,-,Least Concern
"Viper, Philippine Palm",Parias flavomaculatus mcgregori,13,-,-,Least Concern
"Vulture, Eurasian Black",Aeypius monachus,31.9,-,-,Least Concern
"Vulture, King",Sarcorhamphus papa,-,,28.4,Least Concern
"Wallaby, Bennett’s",Macropus rufogriseus,5.3,-,-,Least Concern
"Wallaby, Parma",Macropus parma,5.5,-,-,Endangered
"Wallaby, Tammar",Macropus eugenii,5.8,-,-,Least Concern
"Wallaby, Yellow-footed Rock",Petrogale xanthopus xanthopus,-,6.1,,Least Concern
"Wallaroo, Common",Macropus robustus,-,7.1,8.8,Least Concern
"Warthog, Common",Phacochoerus africanus,-,11.2,12.5,Least Concern
"Weaver, White-headed Buffalo",Dinemellia dinemelli,7.3,-,-,Least Concern
"Wildebeest, White-bearded",Connochaetes taurinus,-,8.5,14,Least Concern
"Wolf, Maned",Chrysocyon brachyurus,12,-,-,Endangered
"Wolf, Mexican Gray",Canis lupus baileyi,11,-,-,Endangered
"Wolf, Red",Canis rufus gregoryi,10.8,-,-,Least Concern
"Woodhoopoe, Green",Phoeniculus purpureus,-,6.2,4.1,Least Concern
"Zebra, Grevy's",Equus grevyi,-,10.9,16.5,Threatened
"Zebra, Hartmann's Mountain",Equus zebra hartmannae,-,12.3,15.2,Threatened
"Zebra, Plains",Equus quagga,16.9,-,-,Least Concern
